Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IND,Climate Watch,Building,All GHG,89.3661,92.4125,91.8442,92.4093,97.2659,99.3956,101.4954,107.4057,105.0801,108.3388,107.8538,106.0398,109.6702,112.067,114.7192,115.9193,117.676,120.039,122.442,126.9753,130.477,135.0488,135.7474,137.8603,141.9318,145.9213,149.9408,152.2378,156.9326,161.2592,162.4971,167.1218
IND,Climate Watch,Manufacturing/Construction,All GHG,151.0608,155.2876,158.7713,156.7363,166.7355,159.0517,159.4453,175.811,185.3287,190.5679,195.0982,197.1601,210.9044,201.647,211.6897,236.2714,264.2322,299.4909,312.6052,359.8814,402.8078,448.0314,436.6727,474.5794,506.422,509.4956,530.6353,562.6031,572.657,556.8642,509.1594,568.1635
IND,Climate Watch,Transportation,All GHG,66.0157,68.6118,70.2577,70.3254,72.6499,80.2976,85.9469,87.9667,91.015,95.6411,97.5237,97.4315,100.3746,102.2087,110.9035,118.4791,123.839,146.6686,167.3239,183.2359,197.8363,214.5636,227.0724,231.9978,241.8145,264.3966,276.2757,298.7052,313.6137,316.4497,275.5723,302.9761
IND,Climate Watch,Other Fuel Combustion,All GHG,28.6874,33.547,33.476,32.5272,37.3816,39.5439,42.123,45.6903,35.4145,40.7794,38.9008,39.6316,41.4531,48.3937,48.6832,47.943,47.2384,41.9084,71.3777,69.0525,69.6037,53.3923,66.1142,60.4525,64.7495,64.9841,66.8916,69.715,71.8314,69.7858,64.7893,72.679
IND,Climate Watch,Fugitive Emissions,All GHG,58.3192,60.0887,50.9829,48.1797,46.5768,49.9688,50.4141,53.7418,51.2102,51.3515,51.6453,51.8788,53.4801,55.5629,57.7326,59.3443,61.4441,64.4344,67.7031,76.8908,80.1142,83.6889,85.7197,85.9549,89.0773,92.9321,93.7532,87.6577,91.4299,93.3783,88.6559,85.8039
IND,Climate Watch,Energy,CO2,540.8692,582.3629,600.9482,624.6274,657.3007,706.6788,739.9182,781.7598,797.168,856.6663,891.8318,906.7346,936.2893,960.8306,1030.0674,1076.719,1150.2365,1268.3449,1351.0793,1483.0532,1573.3694,1664.3976,1808.286,1863.5509,2030.5403,2040.0037,2071.417,2187.3449,2318.8276,2280.3043,2077.5371,2281.8254
IND,Climate Watch,Electricity/Heat,CO2,231.9168,258.965,278.572,306.802,319.8558,364.8902,388.1329,402.0999,418.1406,459.6511,491.2382,505.3575,513.5805,536.4119,584.7286,599.568,639.3295,703.2831,721.8795,789.5072,819.6832,860.2321,989.1139,1006.0361,1123.4329,1103.1164,1096.3201,1154.8976,1255.8236,1228.0758,1116.2596,1223.3737
IND,Climate Watch,Building,CO2,56.4089,59.2837,58.5618,58.8796,63.4897,65.3842,67.2656,72.9021,70.3985,73.4371,72.6839,71.3234,74.6184,76.707,79.0331,79.9219,81.3442,83.337,85.3928,89.5631,92.7105,96.7203,97.4549,99.5874,103.751,107.822,111.8616,114.1918,118.9409,123.2546,124.5664,129.2224
IND,Climate Watch,Manufacturing/Construction,CO2,149.1103,153.2047,156.654,154.5326,164.337,156.7003,156.9249,173.1349,182.5838,187.7992,192.2747,193.9797,207.6702,198.4246,208.2556,232.619,260.3072,295.2585,308.1789,355.0909,397.4904,442.4592,431.0654,468.4188,499.8833,502.719,523.6354,555.0959,564.6781,548.9013,501.0288,559.3889
IND,Climate Watch,Transportation,CO2,64.384,66.9294,68.5466,68.5508,70.811,78.2901,83.8017,85.802,88.7755,93.3144,95.0898,94.9184,97.7374,99.526,108.0512,115.4037,120.6481,142.9764,163.2097,178.7119,192.9189,209.2899,221.5177,226.2589,235.7472,257.7479,269.3869,291.2317,305.6906,308.4561,268.6636,295.0934
IND,Climate Watch,Other Fuel Combustion,CO2,28.2993,33.0771,33.0284,32.1277,36.9231,39.0706,41.62,45.1292,35.0991,40.3807,38.5373,39.2663,41.0527,47.9432,48.2032,47.4728,46.8357,41.6154,70.4978,68.2447,68.8111,52.9683,65.4338,59.8859,64.0903,64.3365,66.223,69.02,71.1076,69.0886,64.1284,71.9293
IND,Climate Watch,Fugitive Emissions,CO2,10.7499,10.903,5.5854,3.7347,1.8841,2.3434,2.1731,2.6917,2.1705,2.0838,2.0079,1.8893,1.6301,1.8179,1.7957,1.7336,1.7718,1.8745,1.9206,1.9354,1.7553,2.7278,3.7003,3.3638,3.6356,4.2619,3.99,2.9079,2.5868,2.5279,2.8903,2.8177
IND,Climate Watch,Bunker Fuels,CO2,5.1131,4.8608,4.9415,5.398,5.8333,6.3502,6.622,6.5627,6.67,7.0108,7.2074,7.2855,7.3897,8.0825,9.069,9.7156,11.288,12.7466,12.5127,13.283,13.9655,14.3969,13.5103,13.8598,14.2869,15.2355,16.3681,17.1107,17.9777,17.3617,9.9805,10.8188
